s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,s115,s116,s117,s118,s119,s120,s121,s122,s123,s124
63.98617639,57.2507894,106.0823451,43.78001542,42.09616868,80.82464386,74.08925687,101.0308048,102.7146516,114.5015788,0,0,156.5977475,114.5015788,186.9069889,58.93463615,0,197.0100694,107.7661918,75.77310362,0,0,0,0
60.16610615,53.83283182,99.74907073,41.16628316,39.58296458,75.99929198,69.66601765,94.99911498,96.58243356,107.6656636,0,0,147.2486282,107.6656636,175.7483627,55.41615041,0,185.2482742,101.3323893,71.24933624,0,0,0,0
57.30105348,51.26936364,94.99911498,39.20598396,37.6980615,72.38027808,66.34858824,90.4753476,91.98327006,102.5387273,0,0,140.2367888,102.5387273,167.3793931,52.7772861,0,176.4269278,96.50703744,67.8565107,0,0,0,0
56.34603592,50.41487425,93.4157964,38.55255089,37.06976048,71.17394011,65.24277844,88.96742514,90.45021556,100.8297485,0,0,137.899509,100.8297485,164.5897365,51.89766467,0,173.486479,94.89858682,66.72556886,0,0,0,0
56.34603592,50.41487425,93.4157964,38.55255089,37.06976048,71.17394011,65.24277844,88.96742514,90.45021556,100.8297485,0,0,137.899509,100.8297485,164.5897365,51.89766467,0,173.486479,94.89858682,66.72556886,0,0,0,0
57.30105348,51.26936364,94.99911498,39.20598396,37.6980615,72.38027808,66.34858824,90.4753476,91.98327006,102.5387273,0,0,140.2367888,102.5387273,167.3793931,52.7772861,0,176.4269278,96.50703744,67.8565107,0,0,0,0
70.67129929,63.23221516,117.1655751,48.35404688,46.49427585,89.26900963,81.8299255,111.586262,113.4460331,126.4644303,0,0,172.9587062,126.4644303,206.4345848,65.09198619,0,217.593211,119.0253462,83.68969653,0,0,0,0
82.13150999,73.48608788,136.1653981,56.19524368,54.03388815,103.7450652,95.09964314,129.6813316,131.8426871,146.9721758,0,0,201.0060639,146.9721758,239.9104634,75.64744341,0,252.8785965,138.3267537,97.26099867,0,0,0,0
90.72666801,81.17649243,150.4152654,62.07614127,59.68859738,114.602107,105.0519314,143.2526337,145.6401776,162.3529849,0,0,222.0415822,162.3529849,265.0173723,83.56403633,0,279.3426357,152.8028093,107.4394753,0,0,0,0
91.68168557,82.03098182,151.998584,62.72957434,60.3168984,115.8084449,106.1577412,144.7605562,147.1732321,164.0619636,0,0,224.378862,164.0619636,267.8070289,84.44365776,0,282.2830845,154.4112599,108.5704171,0,0,0,0
91.68168557,82.03098182,151.998584,62.72957434,60.3168984,115.8084449,106.1577412,144.7605562,147.1732321,164.0619636,0,0,224.378862,164.0619636,267.8070289,84.44365776,0,282.2830845,154.4112599,108.5704171,0,0,0,0
90.72666801,81.17649243,150.4152654,62.07614127,59.68859738,114.602107,105.0519314,143.2526337,145.6401776,162.3529849,0,0,222.0415822,162.3529849,265.0173723,83.56403633,0,279.3426357,152.8028093,107.4394753,0,0,0,0
90.72666801,81.17649243,150.4152654,62.07614127,59.68859738,114.602107,105.0519314,143.2526337,145.6401776,162.3529849,0,0,222.0415822,162.3529849,265.0173723,83.56403633,0,279.3426357,152.8028093,107.4394753,0,0,0,0
90.72666801,81.17649243,150.4152654,62.07614127,59.68859738,114.602107,105.0519314,143.2526337,145.6401776,162.3529849,0,0,222.0415822,162.3529849,265.0173723,83.56403633,0,279.3426357,152.8028093,107.4394753,0,0,0,0
88.81663289,79.46751364,147.2486282,60.76927514,58.43199533,112.189431,102.8403118,140.2367888,142.5740686,158.9350273,0,0,217.3670226,158.9350273,259.4380592,81.80479346,0,273.4617381,149.585908,105.1775916,0,0,0,0
89.77165045,80.32200304,148.8319468,61.4227082,59.06029635,113.395769,103.9461216,141.7447112,144.1071231,160.6440061,0,0,219.7043024,160.6440061,262.2277158,82.68441489,0,276.4021869,151.1943587,106.3085334,0,0,0,0
94.54673824,84.59445001,156.7485397,64.68987353,62.20180148,119.4274588,109.4751706,149.2843235,151.7723956,169.1889,0,0,231.3907015,169.1889,276.1759985,87.08252207,0,291.1044309,159.2366118,111.9632427,0,0,0,0
95.5017558,85.4489394,158.3318583,65.3433066,62.8301025,120.6337968,110.5809804,150.792246,153.3054501,170.8978788,0,0,233.7279813,170.8978788,278.9656551,87.9621435,0,294.0448797,160.8450624,113.0941845,0,0,0,0
95.5017558,85.4489394,158.3318583,65.3433066,62.8301025,120.6337968,110.5809804,150.792246,153.3054501,170.8978788,0,0,233.7279813,170.8978788,278.9656551,87.9621435,0,294.0448797,160.8450624,113.0941845,0,0,0,0
91.68168557,82.03098182,151.998584,62.72957434,60.3168984,115.8084449,106.1577412,144.7605562,147.1732321,164.0619636,0,0,224.378862,164.0619636,267.8070289,84.44365776,0,282.2830845,154.4112599,108.5704171,0,0,0,0
86.90659778,77.75853485,144.0819911,59.46240901,57.17539328,109.7767551,100.6286922,137.2209439,139.5079596,155.5170697,0,0,212.692463,155.5170697,253.8587461,80.04555059,0,267.5808405,146.3690068,102.9157079,0,0,0,0
79.26645731,70.9226197,131.4154424,54.23494448,52.14898508,100.1260513,91.78221373,125.1575642,127.2435236,141.8452394,0,0,193.9942245,141.8452394,231.5414937,73.00857911,0,244.0572502,133.5014018,93.86817314,0,0,0,0
69.71628173,62.37772576,115.5822566,47.70061382,45.86597483,88.06267166,80.72411569,110.0783396,111.9129786,124.7554515,0,0,170.6214263,124.7554515,203.6449282,64.21236476,0,214.6527622,117.4168956,82.55875469,0,0,0,0
60.16610615,53.83283182,99.74907073,41.16628316,39.58296458,75.99929198,69.66601765,94.99911498,96.58243356,107.6656636,0,0,147.2486282,107.6656636,175.7483627,55.41615041,0,185.2482742,101.3323893,71.24933624,0,0,0,0
68.8023402,61.5599886,114.0670377,47.0752854,45.2646975,86.9082192,79.6658676,108.635274,110.4458619,123.1199772,0,0,168.3846747,123.1199772,200.9752569,63.3705765,0,211.8387843,115.8776256,81.4764555,0,0,0,0
64.6947378,57.8847654,107.2570653,44.2648206,42.5623275,81.7196688,74.9096964,102.149586,103.8520791,115.7695308,0,0,158.3318583,115.7695308,188.9767341,59.5872585,0,199.1916927,108.9595584,76.6121895,0,0,0,0
61.614036,55.128348,102.149586,42.156972,40.53555,77.828256,71.342568,97.28532,98.906742,110.256696,0,0,150.792246,110.256696,179.977842,56.74977,0,189.706374,103.771008,72.96399,0,0,0,0
60.5871354,54.2095422,100.4470929,41.4543558,39.8599575,76.5311184,70.1535252,95.663898,97.2582963,108.4190844,0,0,148.2790419,108.4190844,176.9782113,55.8039405,0,186.5446011,102.0414912,71.7479235,0,0,0,0
60.5871354,54.2095422,100.4470929,41.4543558,39.8599575,76.5311184,70.1535252,95.663898,97.2582963,108.4190844,0,0,148.2790419,108.4190844,176.9782113,55.8039405,0,186.5446011,102.0414912,71.7479235,0,0,0,0
61.614036,55.128348,102.149586,42.156972,40.53555,77.828256,71.342568,97.28532,98.906742,110.256696,0,0,150.792246,110.256696,179.977842,56.74977,0,189.706374,103.771008,72.96399,0,0,0,0
75.9906444,67.9916292,125.9844894,51.9935988,49.993845,95.9881824,87.9891672,119.985228,121.9849818,135.9832584,0,0,185.9771034,135.9832584,221.9726718,69.991383,0,233.9711946,127.9842432,89.988921,0,0,0,0
88.3134516,79.0172988,146.4144066,60.4249932,58.100955,111.5538336,102.2576808,139.442292,141.7663302,158.0345976,0,0,216.1355526,158.0345976,257.9682402,81.341337,0,271.9124694,148.7384448,104.581719,0,0,0,0
97.555557,87.286551,161.7368445,66.748539,64.1812875,123.228072,112.959066,154.03509,156.6023415,174.573102,0,0,238.7543895,174.573102,284.9649165,89.8538025,0,300.3684255,164.304096,115.5263175,0,0,0,0
98.5824576,88.2053568,163.4393376,67.4511552,64.85688,124.5252096,114.1481088,155.656512,158.2507872,176.4107136,0,0,241.2675936,176.4107136,287.9645472,90.799632,0,303.5301984,166.0336128,116.742384,0,0,0,0
98.5824576,88.2053568,163.4393376,67.4511552,64.85688,124.5252096,114.1481088,155.656512,158.2507872,176.4107136,0,0,241.2675936,176.4107136,287.9645472,90.799632,0,303.5301984,166.0336128,116.742384,0,0,0,0
97.555557,87.286551,161.7368445,66.748539,64.1812875,123.228072,112.959066,154.03509,156.6023415,174.573102,0,0,238.7543895,174.573102,284.9649165,89.8538025,0,300.3684255,164.304096,115.5263175,0,0,0,0
97.555557,87.286551,161.7368445,66.748539,64.1812875,123.228072,112.959066,154.03509,156.6023415,174.573102,0,0,238.7543895,174.573102,284.9649165,89.8538025,0,300.3684255,164.304096,115.5263175,0,0,0,0
