Capacity (MW),No Load cost,Variable cost,minimum power
20,454.572,28.967,8
20,454.562,28.957,8
76,263.419,18.423,40
76,263.429,18.433,40
20,454.552,28.947,8
20,454.542,28.937,8
76,263.409,18.413,40
76,263.399,18.403,40
100,306.613,17.5904,40
100,306.623,17.6004,40
100,306.603,17.5804,40
197,482.862,17.1925,104
197,482.872,17.2025,104
197,482.882,17.2125,104
12,365.46,29.453,5.4
12,365.47,29.463,5.4
12,365.48,29.473,5.4
12,365.49,29.483,5.4
12,365.475,29.465,5.4
155,415.541,23.8096,54.24
155,415.551,23.8196,54.24
400,188.3079,6.960789,100
400,188.3179,6.970789,100
50,626.106,28.313,26
50,626.116,28.323,26
50,626.096,28.303,26
50,626.126,28.333,26
50,626.086,28.293,26
50,626.1065,28.3135,26
155,415.531,23.7996,54.24
155,415.561,23.8296,54.24
350,303.784,26.2131,140
20,454.577,29.067,8
20,454.567,29.057,8
76,263.417,18.523,40
76,263.427,18.533,40
20,454.557,29.047,8
20,454.547,29.037,8
76,263.407,18.513,40
76,263.397,18.503,40
100,306.617,17.6904,40
100,306.627,17.7004,40
100,306.607,17.6804,40
197,482.867,17.2925,104
197,482.877,17.3025,104
197,482.887,17.3125,104
12,365.467,29.553,5.4
12,365.477,29.563,5.4
12,365.487,29.573,5.4
12,365.497,29.583,5.4
12,365.477,29.565,5.4
155,415.547,23.9096,54.24
155,415.557,23.9196,54.24
400,188.307,7.060789,100
400,188.317,7.070789,100
50,626.107,28.413,26
50,626.117,28.423,26
50,626.097,28.403,26
50,626.127,28.433,26
50,626.087,28.393,26
50,626.107,28.4135,26
155,415.537,23.8996,54.24
155,415.567,23.9296,54.24
350,303.787,26.3131,140
20,454.5222,29.167,8
20,454.526,29.157,8
76,263.4219,18.623,40
76,263.4256,18.633,40
20,454.5278,29.147,8
20,454.5291,29.137,8
76,263.427,18.613,40
76,263.429,18.603,40
100,306.62,17.7904,40
100,306.629,17.8004,40
100,306.6155,17.7804,40
197,482.82,17.3925,104
197,482.8291,17.4025,104
197,482.827,17.4125,104
12,365.42,29.653,5.4
12,365.4243,29.663,5.4
12,365.4254,29.673,5.4
12,365.427,29.683,5.4
12,365.429,29.665,5.4
155,415.5314,24.0096,54.24
155,415.52555,24.0196,54.24
400,188.329,7.160789,100
400,188.32,7.170789,100
50,626.12,28.513,26
50,626.129,28.523,26
50,626.123,28.503,26
50,626.124,28.533,26
50,626.125,28.493,26
50,626.126,28.5135,26
155,415.52,23.9996,54.24
155,415.526,24.73113627,54.24
350,303.72,24.74511063,140
